workerID,num_tasks,num_gold_tasks
w1,1271,266
w10,165,34
w100,366,77
w101,5229,1354
w102,3385,796
w103,2880,816
w104,30,6
w105,1414,369
w106,259,57
w107,5,1
w108,7920,2208
w109,562,125
w11,39,8
w110,155,33
w111,20,4
w112,159,37
w113,717,147
w114,64,15
w115,695,166
w116,114,28
w117,80,21
w118,1806,451
w119,25,5
w12,325,69
w120,15,3
w121,1682,445
w122,30,6
w123,5,1
w124,673,180
w125,5,1
w126,595,121
w127,317,89
w128,165,43
w129,25,10
w13,275,79
w130,15,3
w131,253,65
w132,10,2
w133,185,52
w134,15,3
w135,15,3
w136,65,13
w137,99,35
w138,10,4
w139,5,1
w14,65,13
w140,1528,450
w141,210,57
w142,185,51
w143,15,3
w144,20,4
w145,55,11
w146,20,4
w147,28,6
w148,15,3
w149,75,19
w15,15,3
w150,5,1
w151,754,215
w152,875,238
w153,1483,422
w154,14,3
w155,35,7
w156,45,9
w157,5,1
w158,155,35
w159,10,2
w16,150,30
w160,369,103
w161,5,1
w162,10,2
w163,15,7
w164,84,19
w165,15,3
w166,55,12
w167,5,1
w168,30,6
w169,25,6
w17,15,3
w170,80,20
w171,143,47
w172,10,2
w173,25,6
w174,60,17
w175,15,3
w176,20,4
w177,147,36
w178,15,3
w179,389,100
w18,90,22
w180,35,10
w181,14,3
w182,10,2
w183,20,4
w184,5,1
w185,283,76
w186,30,8
w187,15,6
w188,5,1
w189,50,13
w19,180,36
w190,4,1
w191,40,8
w192,350,111
w193,21,6
w194,105,22
w195,100,23
w196,129,36
w197,1037,297
w198,193,46
w199,5,1
w2,693,151
w20,85,18
w200,20,4
w201,10,2
w202,20,4
w203,10,2
w204,20,4
w205,593,153
w206,15,3
w207,15,3
w208,1009,278
w209,365,110
w21,25,5
w210,45,10
w211,55,16
w212,15,3
w213,30,9
w214,30,6
w215,35,10
w216,5,1
w217,5,1
w218,15,5
w219,20,4
w22,35,7
w220,10,3
w221,10,3
w222,40,11
w223,10,2
w224,15,3
w225,9,3
w226,55,16
w227,5,1
w228,10,2
w229,15,3
w23,109,24
w230,20,4
w231,15,3
w232,20,7
w233,55,16
w234,5,1
w235,24,7
w236,777,221
w237,10,2
w238,672,173
w239,5,1
w24,10,2
w240,15,4
w241,15,4
w242,19,6
w243,148,42
w244,25,5
w245,25,6
w246,130,39
w247,5,1
w248,5,1
w249,35,10
w25,320,66
w250,5,1
w251,5,1
w252,15,3
w253,15,4
w254,5,1
w255,5,1
w256,25,10
w257,15,3
w258,5,1
w259,5,1
w26,5,1
w260,5,1
w261,5,1
w262,5,1
w263,5,1
w264,5,1
